eval_date,eval_year,province_reg,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2023-12-31,2023,Kiên Giang,157463,113894,98212,76613,48749,29001,5001,0.7233064275417083,0.6237147774397795,0.48654604573772886,0.3095901894413291,0.18417660021719387,0.03175984199462731
2019-12-31,2019,Kon Tum,68652,55205,51495,48007,29884,19459,2279,0.8041280661888948,0.7500873973081629,0.6992804288294587,0.43529685952339336,0.2834440365903397,0.03319641088387811
2020-12-31,2020,Kon Tum,78608,65941,61951,58440,36194,23736,2861,0.8388586403419499,0.7881004477915734,0.7434357826175453,0.46043659678404236,0.30195399959291674,0.03639578668837777
2021-12-31,2021,Kon Tum,77629,63406,59071,55045,34534,22675,2772,0.8167823880250937,0.7609398549511136,0.7090777930927875,0.4448595241469039,0.29209444923933064,0.035708304886060624
2022-12-31,2022,Kon Tum,70784,56999,52807,48630,30238,19909,2562,0.8052525994575045,0.7460301763110307,0.6870196654611211,0.4271869349005425,0.2812641274864376,0.036194620253164556
2023-12-31,2023,Kon Tum,57650,45327,41666,38037,23012,14895,2040,0.786244579358196,0.7227406764960972,0.6597918473547268,0.3991673894189072,0.25836947094535995,0.03538594969644406
2019-12-31,2019,Lai Châu,60304,49427,47224,45265,30413,21371,2915,0.8196305386044044,0.78309896524277,0.7506135579729372,0.5043280711063942,0.35438776863889626,0.048338418678694615
2020-12-31,2020,Lai Châu,67545,58505,56250,54495,36255,25235,3363,0.8661632985417129,0.832778147901399,0.8067954696868754,0.5367532755940484,0.3736027833296321,0.049789029535864976
2021-12-31,2021,Lai Châu,64921,56724,54414,52589,34318,23588,2952,0.8737388518353075,0.8381571448375719,0.8100460559757243,0.5286116972936338,0.3633338981223333,0.045470648942560955
2022-12-31,2022,Lai Châu,57777,51082,48821,46903,29271,19491,2451,0.8841234401232324,0.8449902210222061,0.8117936202987348,0.5066202814268653,0.3373487720027,0.0424217249078353
2023-12-31,2023,Lai Châu,45914,40211,38237,36519,21436,13758,1706,0.8757895195365248,0.8327960970510084,0.7953783159820534,0.46687284923988326,0.2996471664416082,0.037156422877553684
2019-12-31,2019,Long An,155005,132738,117611,89285,66162,42100,4692,0.8563465694655011,0.7587561691558337,0.576013676978162,0.42683784394051805,0.27160414180187736,0.03026999129060353
2020-12-31,2020,Long An,152138,136452,125430,93674,67502,42172,5336,0.8968962389409615,0.8244488556442178,0.6157173092849912,0.4436892820991468,0.2771957039004062,0.035073420184306356
2021-12-31,2021,Long An,148010,134213,122540,96809,63821,39883,6044,0.9067833254509831,0.8279170326329303,0.6540706709006148,0.431193838254172,0.26946152287007635,0.040835078710897914
2022-12-31,2022,Long An,133383,124957,117400,96539,65303,43788,7313,0.9368285313720639,0.8801721358793849,0.7237728945967628,0.48959012767744015,0.32828771282697194,0.05482707691384959
2023-12-31,2023,Long An,107487,100579,94214,77272,52160,35192,6498,0.9357317629108637,0.8765152995245937,0.7188962386149023,0.4852679858959688,0.3274070352693814,0.06045382232269949
2019-12-31,2019,Lào Cai,88179,72738,68620,64731,37491,23923,2815,0.8248902799986392,0.7781898184374965,0.7340863470894431,0.42516925798659544,0.2713004230032094,0.03192370065435081
2020-12-31,2020,Lào Cai,103738,87664,83234,79188,45225,28822,3501,0.8450519578168078,0.8023482234089726,0.7633461219610943,0.4359540380574139,0.2778345447184253,0.03374848175210627
2021-12-31,2021,Lào Cai,103110,86949,82189,77824,44108,28454,3719,0.843264474832703,0.797100184269227,0.75476675395209,0.42777616138104935,0.27595771506158473,0.03606827659780817
2022-12-31,2022,Lào Cai,94053,80082,75509,71079,38421,24432,3426,0.8514560939045006,0.8028345719966402,0.7557334694268125,0.4085037159899206,0.2597684284392842,0.036426270294408473
2023-12-31,2023,Lào Cai,76215,63707,59568,55525,28620,17813,2708,0.8358853244112051,0.781578429443023,0.7285311290428393,0.3755166305845306,0.23372039624745786,0.03553106343895559
2019-12-31,2019,Lâm Đồng,143207,118446,109304,88588,54306,32215,3070,0.8270964408164405,0.7632587792496177,0.6186010460382523,0.37921330661210695,0.22495408743985978,0.02143749956356882
2020-12-31,2020,Lâm Đồng,167714,143428,132192,106907,66137,39572,4053,0.855193961148145,0.7881989577495021,0.6374363499767461,0.39434394266429756,0.2359492946325292,0.024166139976388376
