eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2021-12-31,2021,Bạc Liêu,112878,84206,75373,66180,41004,25515,3695,0.7459912471872286,0.6677386204574851,0.5862967097220008,0.363259448253867,0.22604050390687291,0.032734456670033135
2022-12-31,2022,Bạc Liêu,101698,76666,68715,59923,36507,22668,3437,0.7538594662628567,0.6756770044641979,0.589224960176208,0.3589746111034632,0.22289523884442172,0.03379614151704065
2023-12-31,2023,Bạc Liêu,80805,60565,53823,46318,27816,17125,2722,0.7495204504671741,0.6660850194913681,0.5732071035208217,0.3442361240022276,0.21192995482952787,0.033686034280056926
2019-12-31,2019,Bắc Giang,244231,187212,177726,169518,141329,105958,9747,0.7665365985480959,0.7276963202869414,0.6940887929869672,0.5786693744856304,0.43384336959681613,0.03990893866871937
2020-12-31,2020,Bắc Giang,268629,225297,214537,205352,171015,128122,12767,0.8386920250605854,0.7986367815835222,0.7644446429834456,0.6366215114525982,0.4769477606661976,0.047526514263165925
2021-12-31,2021,Bắc Giang,263183,218653,207816,198806,162024,119616,14411,0.8308021414757032,0.7896254697301878,0.755390735723812,0.6156324686624896,0.4544974409441339,0.05475657622262836
2022-12-31,2022,Bắc Giang,240500,200103,190565,182346,146367,107475,15034,0.8320291060291061,0.7923700623700624,0.7581954261954262,0.6085945945945946,0.44688149688149686,0.06251143451143451
2023-12-31,2023,Bắc Giang,193646,158116,149752,142325,112343,81041,12612,0.8165208679755843,0.7733286512502194,0.7349751608605394,0.5801462462431447,0.4185007694452764,0.06512915319707094
2019-12-31,2019,Bắc Kạn,31629,27758,26716,25854,19380,14200,1186,0.8776123178096051,0.8446678680957349,0.8174143981788865,0.6127288248126719,0.44895507287615793,0.03749723355148756
2020-12-31,2020,Bắc Kạn,36272,32869,31793,30856,23329,17037,1462,0.906181076312307,0.8765163211292457,0.8506837229819144,0.6431682840758712,0.46970114689016323,0.040306572562858405
2021-12-31,2021,Bắc Kạn,34809,31644,30667,29815,22951,17143,1544,0.9090752391622856,0.881007785342871,0.856531356833003,0.6593409750351921,0.49248757505242896,0.044356344623516904
2022-12-31,2022,Bắc Kạn,31174,28695,27824,27075,20737,15419,1496,0.9204786039648425,0.8925386540065439,0.868512221723231,0.6652017707063579,0.4946108936934625,0.04798870853916726
2023-12-31,2023,Bắc Kạn,24739,22601,21842,21177,15929,11658,1178,0.9135777517280408,0.8828974493714378,0.8560168155543878,0.6438821294312623,0.4712397429160435,0.04761712276163143
2019-12-31,2019,Bắc Ninh,103801,90111,85350,81027,64160,47280,5392,0.8681130239593068,0.8222464138110422,0.7805994161905955,0.6181057985953893,0.45548694135894646,0.05194554965751775
2020-12-31,2020,Bắc Ninh,123069,112831,108070,103820,83380,62860,8968,0.9168108947013464,0.8781252793148558,0.8435918062225256,0.6775061144561181,0.5107703808432668,0.07286969098635725
2021-12-31,2021,Bắc Ninh,137017,128156,124215,120278,96877,74031,12918,0.9353291927279097,0.9065663384835458,0.8778326776969281,0.7070436515176949,0.5403052176007357,0.09428027179109162
2022-12-31,2022,Bắc Ninh,132723,126218,123335,119913,96555,74739,15064,0.950988148248608,0.929266216104217,0.903483194322009,0.7274925973644357,0.5631201826360164,0.113499544163408
2023-12-31,2023,Bắc Ninh,105412,100079,97706,94675,75542,58366,13730,0.9494080370356316,0.9268963685348917,0.8981425264675749,0.7166356771525063,0.5536940765757219,0.13025082533297916
2019-12-31,2019,Bến Tre,64949,52304,47066,39687,27997,17745,1938,0.8053087807356542,0.7246608877734838,0.6110486689556421,0.4310612942462548,0.273214368196585,0.029838796594250875
2020-12-31,2020,Bến Tre,82619,71535,65680,54740,39253,25259,2980,0.8658419976034568,0.7949745215991479,0.6625594596884494,0.47510863118653096,0.30572870647187694,0.03606918505428534
2021-12-31,2021,Bến Tre,99071,88035,82191,73853,50240,32869,4300,0.8886051417670155,0.8296171432608938,0.7454552795469915,0.5071110617637856,0.3317721633979671,0.043403215875483236
2022-12-31,2022,Bến Tre,104759,96169,91590,85527,58549,40423,5646,0.9180022718811749,0.8742924235626534,0.8164167279183651,0.5588923147414542,0.3858666081195888,0.05389513072862475
2023-12-31,2023,Bến Tre,87825,80374,76559,71441,48701,34244,5099,0.915160831198406,0.8717221747793908,0.813447196128665,0.5545231995445489,0.38991175633361796,0.058058639339595784
2019-12-31,2019,Cao Bằng,56906,44588,42294,40206,27333,19279,2439,0.7835377640319123,0.7432256704038238,0.7065335816961305,0.4803184198502794,0.3387867711664851,0.04286015534390047
2020-12-31,2020,Cao Bằng,61449,52995,50720,48697,32761,23142,2910,0.8624224967045843,0.825399925141174,0.7924783153509414,0.5331413041709385,0.3766049895034907,0.04735634428550505
2021-12-31,2021,Cao Bằng,59671,51941,49827,48014,32547,23476,2844,0.8704563355733941,0.8350287409294297,0.8046454726751688,0.5454408339059175,0.3934239412780077,0.04766134303095306
2022-12-31,2022,Cao Bằng,52910,47067,45250,43577,29297,21347,2515,0.8895671895671896,0.8552258552258553,0.8236061236061236,0.5537138537138537,0.40345870345870344,0.047533547533547535
2023-12-31,2023,Cao Bằng,41971,37382,35804,34326,22603,16295,1925,0.89066260036692,0.8530652116937886,0.8178504205284601,0.5385385146887136,0.38824426389649996,0.04586500202520788
2019-12-31,2019,Cà Mau,127449,92698,83415,67875,45401,28920,4208,0.7273340708832553,0.6544970929548289,0.532565967563496,0.3562287660162104,0.22691429512981665,0.03301712841999545
2020-12-31,2020,Cà Mau,146050,113064,102388,85021,56179,36037,5353,0.774145840465594,0.701047586442999,0.582136254707292,0.3846559397466621,0.24674426566244437,0.036651831564532694
2021-12-31,2021,Cà Mau,148897,113828,101298,83219,55043,35207,5402,0.7644747711505269,0.6803226391398081,0.5589031343814852,0.3696716522159614,0.23645204403043715,0.03628011309831629
2022-12-31,2022,Cà Mau,134636,103682,91477,74132,47824,30027,4792,0.770091208889153,0.679439377283936,0.5506105350723433,0.35520960218663655,0.2230235598205532,0.03559226358477673
